564, 71, 207
1464, 166, 211
2064, 375, 228
2214, 375, 228
2364, 375, 228
2964, 272, 374
3264, 183, 281
3864, 461, 203
4164, 297, 135
4764, 69, 100
5064, 6, 207
5514, 179, 214
5664, 179, 214
5964, 103, 312
6264, 255, 296
6564, 330, 370
6864, 197, 361
7764, 106, 235
8064, 200, 169
8664, 388, 102
8964, 477, 174
9564, 356, 373
9864, 390, 263
10164, 456, 357
10464, 302, 298
10764, 302, 298
11364, 109, 240
12264, 226, 187
13164, 298, 97
13464, 377, 180
14064, 425, 291
14364, 309, 286
14664, 193, 281
14964, 105, 356
15264, 12, 287
15564, 76, 196
15864, 6, 112
16164, 160, 183
16764, 310, 85
17064, 399, 157
17664, 334, 348
17964, 221, 294
18264, 297, 221
18564, 229, 126
19014, 313, 89
19164, 313, 89
19464, 438, 141
19914, 362, 192
20064, 362, 192
20364, 422, 303
20664, 351, 360
20964, 218, 308
21114, 281, 242
21264, 206, 188
21564, 331, 109
21864, 425, 257
22164, 447, 83
22614, 300, 182
22764, 300, 182
23064, 238, 336
23964, 401, 281
24414, 344, 74
24864, 278, 145
25164, 164, 34
25764, 1, 213
26214, 89, 376
26364, 89, 376
26664, 237, 286
27564, 394, 383
28014, 413, 159
28464, 323, 201
28914, 176, 83
29064, 176, 83
29364, 65, 64
29964, 236, 284
30264, 157, 114
30864, 328, 334
31164, 422, 155
31614, 245, 206
32064, 210, 115
32500, -50, -50
